model,category,prompt_id,version,duration,time_seconds
hunyuanvideo_1_5_distilled,scenery,5,long,15s,340.9
hunyuanvideo_1_5_distilled,vehicle,1,short,5s,58.68
hunyuanvideo_1_5_distilled,vehicle,1,short,10s,171.73
hunyuanvideo_1_5_distilled,vehicle,1,short,15s,362.08
hunyuanvideo_1_5_distilled,vehicle,1,medium,5s,58.85
hunyuanvideo_1_5_distilled,vehicle,1,medium,10s,171.8
hunyuanvideo_1_5_distilled,vehicle,1,medium,15s,340.61
hunyuanvideo_1_5_distilled,vehicle,1,long,5s,58.85
hunyuanvideo_1_5_distilled,vehicle,1,long,10s,172.08
hunyuanvideo_1_5_distilled,vehicle,1,long,15s,340.71
hunyuanvideo_1_5_distilled,vehicle,2,short,5s,58.72
hunyuanvideo_1_5_distilled,vehicle,2,short,10s,171.75
hunyuanvideo_1_5_distilled,vehicle,2,short,15s,340.62
hunyuanvideo_1_5_distilled,vehicle,2,medium,5s,58.72
hunyuanvideo_1_5_distilled,vehicle,2,medium,10s,171.62
hunyuanvideo_1_5_distilled,vehicle,2,medium,15s,340.47
hunyuanvideo_1_5_distilled,vehicle,2,long,5s,58.83
hunyuanvideo_1_5_distilled,vehicle,2,long,10s,171.88
hunyuanvideo_1_5_distilled,vehicle,2,long,15s,340.94
hunyuanvideo_1_5_distilled,vehicle,3,short,5s,58.77
hunyuanvideo_1_5_distilled,vehicle,3,short,10s,171.69
hunyuanvideo_1_5_distilled,vehicle,3,short,15s,340.26
hunyuanvideo_1_5_distilled,vehicle,3,medium,5s,58.85
hunyuanvideo_1_5_distilled,vehicle,3,medium,10s,172.02
hunyuanvideo_1_5_distilled,vehicle,3,medium,15s,340.57
hunyuanvideo_1_5_distilled,vehicle,3,long,5s,58.97
hunyuanvideo_1_5_distilled,vehicle,3,long,10s,172.08
hunyuanvideo_1_5_distilled,vehicle,3,long,15s,340.63
hunyuanvideo_1_5_distilled,vehicle,4,short,5s,58.67
hunyuanvideo_1_5_distilled,vehicle,4,short,10s,171.54
hunyuanvideo_1_5_distilled,vehicle,4,short,15s,340.02
hunyuanvideo_1_5_distilled,vehicle,4,medium,5s,58.71
hunyuanvideo_1_5_distilled,vehicle,4,medium,10s,171.58
hunyuanvideo_1_5_distilled,vehicle,4,medium,15s,340.56
hunyuanvideo_1_5_distilled,vehicle,4,long,5s,58.82
hunyuanvideo_1_5_distilled,vehicle,4,long,10s,171.67
hunyuanvideo_1_5_distilled,vehicle,4,long,15s,340.43
hunyuanvideo_1_5_distilled,vehicle,5,short,5s,58.72
hunyuanvideo_1_5_distilled,vehicle,5,short,10s,171.61
hunyuanvideo_1_5_distilled,vehicle,5,short,15s,340.25
